날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-07-28,170,25.4,24.1,27.7
2020-07-28,172,25.1,21.4,28.6
2020-07-28,174,25.3,21.8,29.2
2020-07-28,177,23.8,22,26.7
2020-07-28,184,28.7,25.1,33.8
2020-07-28,185,25.7,24.2,27.8
2020-07-28,152,21.9,21,23.9
2020-07-28,155,23.1,22.2,24.8
2020-07-28,156,25,22.5,29
2020-07-28,159,21.9,21.5,22.8
2020-07-28,162,23.7,22.8,25.3
2020-07-29,165,26.5,24.7,29.1
2020-07-29,168,24.9,23.4,28.1
2020-07-29,135,22.3,21.6,23.6
2020-07-29,136,22.4,21.1,23.8
2020-07-29,137,22.2,21.5,23.7
2020-07-29,138,22.7,21.3,25.5
2020-07-29,140,24.8,23.7,25.9
2020-07-29,143,23.1,21.6,24.7
2020-07-29,146,24.9,23.6,26.5
2020-07-29,115,21.6,20.7,22.8
2020-07-29,119,24.7,23.2,27.8
2020-07-29,121,22.4,20.7,26.1
2020-07-29,127,23.5,22,25.5
2020-07-29,129,25,22.9,28.9
2020-07-29,130,20.9,20,21.9
2020-07-29,131,25,23.8,26.6
2020-07-29,133,24.7,22.5,26.2
2020-07-29,102,22,20.9,23.8
2020-07-29,104,20.8,19.8,22.6
2020-07-29,105,21.8,20.6,23.5
2020-07-29,106,20.1,19.3,22.1
2020-07-29,108,23.7,22.6,24.9
2020-07-29,112,24,23.3,24.9
2020-07-29,114,24.5,22.4,27.8
2020-07-29,90,21.3,20.2,23.5
2020-07-29,93,22.6,21.3,23.7
2020-07-29,95,23.2,21.8,27.3
2020-07-29,98,23.1,21.1,25.7
2020-07-29,99,23.3,21.2,25.2
2020-07-29,100,19,17.2,24
2020-07-29,101,23,22,23.8
2020-07-29,294,24.3,22.2,27.5
2020-07-29,295,24.4,22.8,27.4
2020-07-29,279,23.4,22.1,25.2
2020-07-29,281,22.5,21,24.2
2020-07-29,283,22.6,21.2,24.8
2020-07-29,284,23.4,22.3,24.5
2020-07-29,285,23.7,22.4,25.6
2020-07-29,288,24.3,22.7,27
